epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6745,2.73009,4.75315,1.82767,0.00268,0.23333,0.00248,0.00069,2.74144,4.30993,1.61218,1.667e-05,1.667e-05,1.667e-05
2,20.3937,2.65776,4.51502,1.82268,0.00286,0.23333,0.00274,0.00073,2.69831,4.28268,1.59033,4.95149e-05,4.95149e-05,4.95149e-05
3,29.8655,2.28565,4.37349,1.55339,0.00328,0.26667,0.00332,0.00096,2.6251,4.18703,1.50165,8.16997e-05,8.16997e-05,8.16997e-05
4,39.1498,2.30922,4.49107,1.48995,0.00344,0.3,0.00395,0.00136,2.35588,4.12563,1.38862,0.000113224,0.000113224,0.000113224
5,48.6373,1.98881,4.08117,1.37157,0.00357,0.33333,0.0047,0.00212,2.16129,4.10511,1.29867,0.000144089,0.000144089,0.000144089
6,58.468,1.95815,3.887,1.29949,0.00438,0.43333,0.01068,0.00399,2.24294,4.05193,1.28453,0.000174293,0.000174293,0.000174293
7,68.1361,1.81741,3.63881,1.17971,0.00391,0.4,0.01242,0.00515,2.25844,4.12668,1.30784,0.000203837,0.000203837,0.000203837
8,77.5359,1.91471,3.46627,1.19143,0.0038,0.4,0.04739,0.01089,2.20506,4.00243,1.28956,0.000232722,0.000232722,0.000232722
9,87.3199,1.94189,3.29724,1.20196,0.00398,0.4,0.04936,0.01171,2.10473,3.96751,1.22771,0.000260946,0.000260946,0.000260946
10,97.4359,1.80143,3.0917,1.13215,0.00505,0.46667,0.04104,0.01126,2.04161,3.92632,1.2295,0.000288509,0.000288509,0.000288509
11,107.329,1.7793,2.96813,1.18974,0.00594,0.5,0.04239,0.01149,2.06153,3.88102,1.18131,0.000315413,0.000315413,0.000315413
12,117.239,1.68176,2.88267,1.11551,0.00516,0.4,0.04641,0.01117,2.09152,3.87533,1.18436,0.000341657,0.000341657,0.000341657
13,127.088,1.70979,2.6056,1.11232,0.00489,0.36667,0.06347,0.01742,1.94357,3.81976,1.11713,0.00036724,0.00036724,0.00036724
14,136.949,1.73989,2.50076,1.10377,0.00444,0.33333,0.06114,0.01754,1.94119,3.77162,1.1015,0.000392163,0.000392163,0.000392163
15,146.673,1.89688,2.66432,1.18755,0.00436,0.33333,0.05589,0.02009,2.02921,3.77232,1.12071,0.000416427,0.000416427,0.000416427
16,156.588,1.9302,2.71957,1.19618,0.00479,0.36667,0.05514,0.0212,2.01353,3.75394,1.12767,0.00044003,0.00044003,0.00044003
17,166.353,1.67136,2.18839,1.12533,0.00486,0.36667,0.05501,0.02966,2.05973,3.69881,1.14391,0.000462973,0.000462973,0.000462973
18,175.97,1.71319,2.02279,1.11418,0.00451,0.33333,0.09534,0.05541,2.02056,3.69736,1.14443,0.000485255,0.000485255,0.000485255
19,185.608,1.73417,2.10262,1.14022,0.00457,0.33333,0.10454,0.06589,1.99817,3.63604,1.13294,0.000506878,0.000506878,0.000506878
20,195.121,1.69726,1.9787,1.1379,0.00443,0.33333,0.11676,0.07102,2.03489,3.67357,1.13922,0.000527841,0.000527841,0.000527841
21,204.508,1.71965,1.92604,1.1227,0.004,0.3,0.11066,0.04304,2.19365,3.68722,1.18319,0.000548143,0.000548143,0.000548143
22,213.71,1.65484,1.937,1.13099,0.00465,0.33333,0.06624,0.01425,2.31451,3.71181,1.21062,0.000567785,0.000567785,0.000567785
23,222.93,1.63139,1.92535,1.11284,0.00469,0.33333,0.07641,0.03233,2.16869,3.59441,1.16231,0.000586767,0.000586767,0.000586767
24,232.195,1.55456,1.71402,1.07258,0.00551,0.4,0.12341,0.07856,1.9766,3.48755,1.12953,0.000605089,0.000605089,0.000605089
25,241.497,1.65382,1.69083,1.09545,0.00588,0.43333,0.26159,0.13637,2.02064,3.37676,1.14602,0.000622751,0.000622751,0.000622751
26,250.658,1.53242,1.7316,1.09402,0.0058,0.43333,0.28472,0.14679,1.96534,3.28595,1.12856,0.000639753,0.000639753,0.000639753
27,260.565,1.64665,2.01779,1.1544,0.00588,0.43333,0.22953,0.13088,1.90915,3.31439,1.11353,0.000656095,0.000656095,0.000656095
28,269.862,1.45524,1.60042,1.06178,0.00588,0.43333,0.22953,0.13088,1.90915,3.31439,1.11353,0.000671776,0.000671776,0.000671776
29,279.26,1.6421,1.65696,1.1039,0.00594,0.43333,0.16779,0.10209,1.83652,3.34071,1.12498,0.000686797,0.000686797,0.000686797
30,288.663,1.54238,1.60459,1.08206,0.00601,0.43333,0.18222,0.10789,1.8654,3.30367,1.11679,0.000701159,0.000701159,0.000701159
31,298.543,1.49252,1.5411,1.0586,0.00601,0.43333,0.18222,0.10789,1.8654,3.30367,1.11679,0.00071486,0.00071486,0.00071486
32,308.093,1.45573,1.63174,1.05477,0.00609,0.43333,0.26729,0.13556,1.8532,3.20207,1.07804,0.000727901,0.000727901,0.000727901
33,317.445,1.58827,1.53789,1.02659,0.00662,0.45606,0.27945,0.14507,1.84483,3.16667,1.06282,0.000740281,0.000740281,0.000740281
34,326.643,1.44501,1.57814,1.03681,0.00662,0.45606,0.27945,0.14507,1.84483,3.16667,1.06282,0.000752002,0.000752002,0.000752002
35,336.099,1.36044,1.60513,0.991,0.09615,0.35606,0.27018,0.13208,1.8741,3.14928,1.0576,0.000763063,0.000763063,0.000763063
36,345.493,1.48836,1.41901,1.08474,0.9227,0.18356,0.27778,0.14245,1.8457,3.10921,1.05495,0.000773463,0.000773463,0.000773463
37,354.729,1.38421,1.3951,1.01766,0.9227,0.18356,0.27778,0.14245,1.8457,3.10921,1.05495,0.000783203,0.000783203,0.000783203
38,364.012,1.457,1.42788,1.03863,1,0.11828,0.29978,0.14452,1.85355,3.02806,1.05534,0.000792283,0.000792283,0.000792283
39,373.937,1.43952,1.43407,1.05922,0.91066,0.15465,0.32864,0.15983,1.85887,2.95466,1.05683,0.000800703,0.000800703,0.000800703
40,383.081,1.41166,1.58549,0.99617,0.91066,0.15465,0.32864,0.15983,1.85887,2.95466,1.05683,0.000808463,0.000808463,0.000808463
41,392.394,1.44216,1.44697,0.99447,0.9074,0.14814,0.32554,0.16178,1.81652,2.90266,1.04569,0.000815563,0.000815563,0.000815563
42,401.944,1.40829,1.52396,0.99396,0.90584,0.14501,0.34612,0.18725,1.77457,2.85946,1.02878,0.000822003,0.000822003,0.000822003
43,411.166,1.4732,1.41918,1.01447,0.90584,0.14501,0.34612,0.18725,1.77457,2.85946,1.02878,0.000827782,0.000827782,0.000827782
44,420.7,1.48911,1.39532,0.99838,0.90132,0.13597,0.34139,0.19799,1.72528,2.79646,1.02964,0.000832902,0.000832902,0.000832902
45,430.06,1.43812,1.37716,1.02653,0.90132,0.13597,0.34139,0.19799,1.72528,2.79646,1.02964,0.000837361,0.000837361,0.000837361
46,439.578,1.42021,1.38868,0.99539,0.93183,0.2,0.33902,0.19874,1.79438,2.79729,1.04661,0.00084116,0.00084116,0.00084116
47,449.19,1.32452,1.30944,1.00722,0.93183,0.2,0.33902,0.19874,1.79438,2.79729,1.04661,0.000844299,0.000844299,0.000844299
48,458.846,1.4217,1.3079,1.03662,0.92135,0.20438,0.36753,0.1972,1.73133,2.70478,1.03711,0.000846778,0.000846778,0.000846778
49,468.226,1.40834,1.33928,1.01404,0.92135,0.20438,0.36753,0.1972,1.73133,2.70478,1.03711,0.000848596,0.000848596,0.000848596
50,478.122,1.38139,1.31098,0.99976,0.90319,0.17129,0.36818,0.17163,1.81152,2.78723,1.03915,0.000849755,0.000849755,0.000849755
51,487.723,1.38564,1.41443,1.02508,0.90319,0.17129,0.36818,0.17163,1.81152,2.78723,1.03915,0.000841835,0.000841835,0.000841835
52,498.302,1.23467,1.23483,0.9701,0.91168,0.18438,0.40195,0.18315,1.92776,2.74835,1.0704,0.000825332,0.000825332,0.000825332
53,507.82,1.2345,1.20613,0.95584,0.91168,0.18438,0.40195,0.18315,1.92776,2.74835,1.0704,0.000808828,0.000808828,0.000808828
54,517.136,1.44929,1.37824,1.01509,0.93228,0.23788,0.41514,0.19172,1.91658,2.64225,1.08417,0.000792325,0.000792325,0.000792325
55,526.482,1.31297,1.32756,0.99011,0.93228,0.23788,0.41514,0.19172,1.91658,2.64225,1.08417,0.000775822,0.000775822,0.000775822
56,535.72,1.28795,1.13955,0.98935,0.94678,0.31602,0.41097,0.20633,1.8709,2.50595,1.08953,0.000759318,0.000759318,0.000759318
57,545.113,1.34955,1.18016,0.96956,0.94678,0.31602,0.41097,0.20633,1.8709,2.50595,1.08953,0.000742815,0.000742815,0.000742815
58,556.467,1.32189,1.21946,0.96601,0.9487,0.33956,0.41916,0.2096,1.91978,2.40443,1.11258,0.000726312,0.000726312,0.000726312
59,565.654,1.30126,1.1889,0.98402,0.9487,0.33956,0.41916,0.2096,1.91978,2.40443,1.11258,0.000709809,0.000709809,0.000709809
60,574.857,1.28028,1.18775,0.97003,0.79912,0.32622,0.41925,0.20317,2.00212,2.32124,1.1434,0.000693305,0.000693305,0.000693305
61,584.038,1.35249,1.28144,0.96994,0.79912,0.32622,0.41925,0.20317,2.00212,2.32124,1.1434,0.000676802,0.000676802,0.000676802
62,593.204,1.27561,1.11094,1.0064,0.77016,0.33763,0.40817,0.18592,1.99662,2.23286,1.13997,0.000660299,0.000660299,0.000660299
63,602.54,1.3215,1.2202,0.97152,0.77016,0.33763,0.40817,0.18592,1.99662,2.23286,1.13997,0.000643795,0.000643795,0.000643795
64,611.756,1.19895,1.06091,0.94581,0.72723,0.34545,0.4046,0.18829,1.95473,2.09162,1.13233,0.000627292,0.000627292,0.000627292
65,621.008,1.2852,1.12657,0.96036,0.72723,0.34545,0.4046,0.18829,1.95473,2.09162,1.13233,0.000610789,0.000610789,0.000610789
66,630.416,1.24871,1.11265,0.96396,0.88984,0.36558,0.41531,0.20062,1.97649,2.01349,1.13962,0.000594286,0.000594286,0.000594286
67,639.688,1.20262,1.13459,0.93377,0.88984,0.36558,0.41531,0.20062,1.97649,2.01349,1.13962,0.000577782,0.000577782,0.000577782
68,648.919,1.34207,1.23269,0.98831,0.87225,0.36475,0.42634,0.21132,1.97013,1.87836,1.13269,0.000561279,0.000561279,0.000561279
69,658.093,1.19604,1.06312,0.93724,0.87225,0.36475,0.42634,0.21132,1.97013,1.87836,1.13269,0.000544776,0.000544776,0.000544776
70,667.392,1.3012,1.11778,0.98321,0.86994,0.3799,0.44579,0.21658,1.95676,1.79514,1.13244,0.000528272,0.000528272,0.000528272
71,676.627,1.16545,1.03386,0.94652,0.86994,0.3799,0.44579,0.21658,1.95676,1.79514,1.13244,0.000511769,0.000511769,0.000511769
72,685.858,1.19054,1.09588,0.93611,0.82646,0.41542,0.45641,0.22035,1.96705,1.76229,1.13454,0.000495266,0.000495266,0.000495266
73,695.005,1.28999,1.11032,0.98281,0.82646,0.41542,0.45641,0.22035,1.96705,1.76229,1.13454,0.000478762,0.000478762,0.000478762
74,704.261,1.23121,1.14673,0.96489,0.83715,0.44098,0.45896,0.22965,1.92781,1.7369,1.11731,0.000462259,0.000462259,0.000462259
75,713.652,1.1932,1.0948,0.94823,0.83715,0.44098,0.45896,0.22965,1.92781,1.7369,1.11731,0.000445756,0.000445756,0.000445756
76,722.941,1.20069,1.08923,0.946,0.74882,0.40188,0.41403,0.22643,1.90098,1.72328,1.11711,0.000429253,0.000429253,0.000429253
77,732.001,1.20529,1.03984,0.95614,0.74882,0.40188,0.41403,0.22643,1.90098,1.72328,1.11711,0.000412749,0.000412749,0.000412749
78,741.123,1.15376,1.0461,0.94868,0.72335,0.42424,0.4077,0.23149,1.89768,1.67388,1.10571,0.000396246,0.000396246,0.000396246
79,750.265,1.12233,1.01437,0.94414,0.72335,0.42424,0.4077,0.23149,1.89768,1.67388,1.10571,0.000379743,0.000379743,0.000379743
80,759.443,1.17735,1.00454,0.95001,0.78839,0.44697,0.44705,0.23883,1.90845,1.67526,1.11382,0.000363239,0.000363239,0.000363239
81,768.643,1.09217,1.03123,0.92209,0.78839,0.44697,0.44705,0.23883,1.90845,1.67526,1.11382,0.000346736,0.000346736,0.000346736
82,777.943,1.08777,0.96931,0.92587,0.83278,0.44697,0.46162,0.24827,1.87138,1.53709,1.11576,0.000330233,0.000330233,0.000330233
83,787.078,1.05659,0.98831,0.92869,0.83278,0.44697,0.46162,0.24827,1.87138,1.53709,1.11576,0.000313729,0.000313729,0.000313729
84,796.305,1.11093,1.01466,0.92535,0.69515,0.44697,0.46997,0.25995,1.8159,1.43882,1.10395,0.000297226,0.000297226,0.000297226
85,805.463,1.11096,0.97957,0.94528,0.69515,0.44697,0.46997,0.25995,1.8159,1.43882,1.10395,0.000280723,0.000280723,0.000280723
86,814.629,1.1772,1.04174,0.95109,0.74177,0.44697,0.4884,0.27288,1.77308,1.38138,1.08293,0.00026422,0.00026422,0.00026422
87,823.856,1.14842,0.91702,0.93289,0.74177,0.44697,0.4884,0.27288,1.77308,1.38138,1.08293,0.000247716,0.000247716,0.000247716
88,833.033,1.12934,0.94926,0.94395,0.82003,0.42424,0.49083,0.27481,1.78299,1.39551,1.08242,0.000231213,0.000231213,0.000231213
89,842.166,1.09613,1.02563,0.93749,0.82003,0.42424,0.49083,0.27481,1.78299,1.39551,1.08242,0.00021471,0.00021471,0.00021471
90,851.384,1.10721,1.11196,0.91154,0.83378,0.43419,0.49559,0.27911,1.80131,1.4041,1.08516,0.000198206,0.000198206,0.000198206
91,860.602,1.209,1.21934,0.97632,0.83378,0.43419,0.49559,0.27911,1.80131,1.4041,1.08516,0.000181703,0.000181703,0.000181703
92,869.833,1.1798,1.23574,0.93825,0.88082,0.41899,0.49155,0.26546,1.81686,1.40885,1.08991,0.0001652,0.0001652,0.0001652
93,878.896,1.25626,1.38822,0.94571,0.88082,0.41899,0.49155,0.26546,1.81686,1.40885,1.08991,0.000148696,0.000148696,0.000148696
94,887.944,1.26611,1.39281,0.93457,0.76876,0.44697,0.49097,0.26573,1.81302,1.4013,1.08869,0.000132193,0.000132193,0.000132193
95,896.945,1.17893,1.13797,0.96609,0.76876,0.44697,0.49097,0.26573,1.81302,1.4013,1.08869,0.00011569,0.00011569,0.00011569
96,905.978,1.2007,1.20335,0.95392,0.76257,0.44697,0.49042,0.2708,1.80649,1.38674,1.09947,9.91865e-05,9.91865e-05,9.91865e-05
97,914.947,1.0642,1.12207,0.91783,0.76257,0.44697,0.49042,0.2708,1.80649,1.38674,1.09947,8.26832e-05,8.26832e-05,8.26832e-05
98,925.219,1.10789,1.09004,0.92809,0.93716,0.44357,0.49424,0.26636,1.78822,1.38867,1.09553,6.61799e-05,6.61799e-05,6.61799e-05
99,934.349,1.16096,1.23561,0.90695,0.93716,0.44357,0.49424,0.26636,1.78822,1.38867,1.09553,4.96766e-05,4.96766e-05,4.96766e-05
100,943.566,1.15539,1.14072,0.9312,0.93658,0.44423,0.49325,0.26166,1.78312,1.39875,1.093,3.31733e-05,3.31733e-05,3.31733e-05
